mz,rt,group,CMP,intensity,annotation,H1,H2,H3a_rep1,H3a_rep2,H3a_rep3,H3b,H4_1,H4_2,H4_3,H5_rep1,H5_rep2,N_rep1,N_rep2,N_rep3,O1a,O1b,O2,O3_rep1,O3_rep2,O3_rep3,O4,P1a,P1b,P2a,P2b_rep1,P2b_rep2,P2b_rep3,P2c,P3,P4a,P4b,P5,P6,QC_rep1,QC_rep2,QC_rep3,QC_rep4,V1a,V1b,V2,V3,V5,neutral_mass,cmp_ppm,size,intensity_rel,isogroup,isonr,charge,adduct_ion,ppm
339.3270957,1064,M339_R1064_3640,CMP479,13549,none,0,0,0,0,0,31261,0,0,0,0,0,0,0,0,0,0,0,0,13223,9217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694.5,1.77,6,95.68633428,1,0,1,NA,NA
339.3273664,1327,M339_R1327_3641,CMP96,38861,none,59430,38073,61480,42055,56122,96741,0,0,0,0,0,0,0,0,21762,36503,0,47082,33819,40703,0,0,0,0,0,0,0,31673,0,8400,0,0,0,0,17588,28381,46802,0,0,46012,0,48840,468.4193,0.58,11,18.57762329,NA,NA,NA,NA,NA
339.3294678,369,M339_R369_3642,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12297,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.3485945,795,M339_R795_3643,CMP1498,32940,none,61988,14712,0,9184,9186,11322,17700,11884,0,0,0,27164,55757,79068,11303,17259,19539,11422,13718,11710,0,33311,10408,32021,39029,30197,33050,24524,17287,20365,0,22991,40583,7235,26043,29143,30661,12008,16559,11454,10183,0,341.211,NA,3,13.83922381,NA,NA,NA,NA,NA
339.3725151,919,M339_R919_3644,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6413,8805,8741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.4299254,795,M339_R795_3645,NA,0,none,27605,0,0,0,0,0,0,0,0,0,0,0,23108,34809,0,0,0,0,0,0,0,8955,0,9794,14084,7592,10212,0,0,0,0,0,19724,0,0,8696,8363,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.4403113,919,M339_R919_3646,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18559,24856,23034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.4881134,795,M339_R795_3647,NA,0,none,27579,0,0,0,0,0,0,0,0,0,0,9742,22507,26923,0,0,0,0,0,0,0,14673,0,14340,17968,11301,14603,8551,0,0,0,0,18303,0,7463,11571,11795,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.5419944,795,M340_R795_3648,NA,0,none,15764,0,0,0,0,0,0,0,0,0,0,0,12929,14708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
339.5800476,919,M340_R919_3649,NA,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8194,7390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
