mz,intensity,rt,group
188.9507,40587,216,M189_R216_496
189.0554,13278,402,M189_R402_497
189.0766,402271,52,M189_R52_500
189.1024,510934,239,M189_R239_502
189.1122,121294,262,M189_R262_503
189.1274,34668,613,M189_R613_504
190.9479,25459,215,M191_R215_510
191.0565,14127,46,M191_R46_513
191.0709,12574,311,M191_R311_516
191.0924,13988,51,M191_R51_518
191.1075,525552,608,M191_R608_519
191.1188,23076,520,M191_R520_520
192.0567,63990,507,M192_R507_523
192.0659,19745,258,M192_R258_524
192.0666,3038010,433,M192_R433_525
192.1107,37546,598,M192_R598_526
193.0505,507807,185,M193_R185_529
193.0503,163245,54,M193_R54_530
193.0509,29879,375,M193_R375_531
193.0656,14296,644,M193_R644_532
193.0866,576437,600,M193_R600_533
193.0858,254667,425,M193_R425_534
193.0891,212425,412,M193_R412_535
193.0876,144104,686,M193_R686_536
194.0455,234040,463,M194_R463_538
194.0607,348844,414,M194_R414_540
194.082,2547513,650,M194_R650_541
194.0902,13025,665,M194_R665_542
194.1947,50060,651,M194_R651_544
194.927,385987,44,M195_R44_545
195.0298,830076,281,M195_R281_547
195.0301,28078260,840,M195_R840_548
195.0444,403259,531,M195_R531_549
195.0415,316985,305,M195_R305_550
195.0658,1059603,222,M195_R222_551
195.0658,1454972,628,M195_R628_552
195.0642,680550,53,M195_R53_553
195.0689,293770,412,M195_R412_554
195.0852,159640,648,M195_R648_555
195.0925,39808,447,M195_R447_556
195.1022,48599,271,M195_R271_557
195.142,665913,842,M195_R842_558
195.2497,172932,844,M195_R844_561
195.9125,252822,370,M196_R370_565
196.0251,45283,196,M196_R196_566
196.0248,14630,396,M196_R396_567
196.0252,74480,52,M196_R52_568
196.0329,2137683,842,M196_R842_569
196.0487,131294,528,M196_R528_572
196.069,28718,214,M196_R214_575
196.134,36780,464,M196_R464_576
196.9102,47668,52,M197_R52_577
196.9857,231377,344,M197_R344_578
197.009,30937,284,M197_R284_580
197.0221,10857,51,M197_R51_581
197.0279,505577,842,M197_R842_582
197.0449,185147,699,M197_R699_583
197.0603,902597,524,M197_R524_585
197.0817,121587,53,M197_R53_586
197.0817,104016,179,M197_R179_587
197.1082,17898,632,M197_R632_589
197.1178,365000,419,M197_R419_590
197.1908,13969,660,M197_R660_593
197.8078,295036,293,M198_R293_595
197.8518,10962,59,M198_R59_597
197.9103,249383,373,M198_R373_598
198.0402,162082,383,M198_R383_599
198.0635,31389,511,M198_R511_600
198.1135,367192,435,M198_R435_601
199.0429,409998,309,M199_R309_603
199.0545,188528,452,M199_R452_604
199.0603,114442,51,M199_R51_605
199.0764,60075,568,M199_R568_606
199.0973,678568,248,M199_R248_607
199.0973,635957,53,M199_R53_608
199.134,1318837,456,M199_R456_610
199.1339,606054,912,M199_R912_611
199.1337,192283,1032,M199_R1032_612
199.1451,13381,296,M199_R296_613
199.1701,7144927,770,M199_R770_614
199.2832,64091,806,M199_R806_615
199.8049,22996,258,M200_R258_618
199.8513,50084,1163,M200_R1163_619
199.9063,66655,355,M200_R355_621
200.0286,323511,343,M200_R343_623
200.0555,45899,46,M200_R46_624
200.1004,36222,256,M200_R256_625
200.1292,311970,261,M200_R261_627
200.1366,11609,929,M200_R929_628
200.1291,194731,379,M200_R379_629
200.1736,1296723,800,M200_R800_631
200.8925,13605,677,M201_R677_634
200.9958,10522,621,M201_R621_635
201.0228,11314,151,M201_R151_636
201.0304,65620,340,M201_R340_637
201.0377,51785,48,M201_R48_638
201.0762,2316545,52,M201_R52_639
201.1131,14661514,322,M201_R322_640
201.1126,106334,923,M201_R923_641
201.1131,49739,1026,M201_R1026_642
201.1494,2636609,496,M201_R496_643
201.2268,559532,303,M201_R303_644
