mz,rt,intensity,Formula
269.0651,1,406,C8H10F7NO
269.0651,1,205,C8H10F7NO
269.0651,1,788,C8H10F7NO
269.0651,1,432,C8H10F7NO
269.0651,1,618,C8H10F7NO
269.9249,1,134,C4Cl2F8
269.9249,1,489,C4Cl2F8
269.9903,1,126,C5HF11
270.0127,1,537,C7H5F7O3
270.0127,1,168,C7H5F7O3
270.0127,1,192,C7H5F7O3
270.0279,1,918,C11H5F7
270.0352,1,886,C5H5F7N4O
270.0491,1,324,C8H9F7O2
270.0491,1,323,C8H9F7O2
270.0491,1,345,C8H9F7O2
270.0491,1,991,C8H9F7O2
270.0491,1,107,C8H9F7O2
270.0491,1,947,C8H9F7O2
270.0491,1,322,C8H9F7O2
270.0855,1,253,C9H13F7O
271.0443,1,615,C7H8F7NO2
271.0443,1,104,C7H8F7NO2
271.0443,1,640,C7H8F7NO2
271.9872,1,172,C10F8
272.0106,1,532,C7H7F7OS
272.0184,1,530,C9H3F7N2
272.0248,1,131,C8H5F9
272.0647,1,631,C8H11F7O2
273.02,1,102,C7H4F9N
273.0388,1,513,C10H6F7N
273.9228,1,144,C5H2BrF7
273.9228,1,435,C5H2BrF7
274.004,1,569,C7H3F9O
274.0229,1,263,C10H5F7O
274.0229,1,812,C10H5F7O
274.0229,1,200,C10H5F7O
274.044,1,175,C7H9F7O3
274.9948,1,956,C6H5ClF7NO
275.0545,1,157,C10H8F7N
275.9021,1,401,C4BrF7O
275.9021,1,519,C4BrF7O
275.918,1,551,C5Cl2F6O2
275.9385,1,301,C5H4BrF7
275.9385,1,536,C5H4BrF7
275.9833,1,149,C6HF9O2
276.0197,1,604,C7H5F9O
276.0197,1,491,C7H5F9O
276.0197,1,903,C7H5F9O
276.0385,1,150,C10H7F7O
276.0385,1,387,C10H7F7O
276.0385,1,848,C10H7F7O
276.0497,1,825,C9H7F7N2
276.0497,1,517,C9H7F7N2
276.0561,1,674,C8H9F9
277.0149,1,648,C6H4F9NO
277.0338,1,507,C9H6F7NO
277.0338,1,831,C9H6F7NO
277.0338,1,187,C9H6F7NO
277.9484,1,489,C4HF7O4S
277.9789,1,109,C6F10O
277.9789,1,150,C6F10O
277.9848,1,425,C5H5F7O3S
277.9989,1,671,C6H3F9O2
278.0353,1,400,C7H7F9O
278.0353,1,266,C7H7F9O
278.9657,1,515,C4H3F7O4P
279.013,1,316,C8H4F7NO2
279.0306,1,984,C6H6F9NO
279.944,1,736,C4F8O3S
279.9701,1,149,C6H2ClF9
279.9782,1,635,C5HF9O3
279.9782,1,408,C5HF9O3
279.9782,1,775,C5HF9O3
279.9968,1,672,C6H5F9S
280.0083,1,108,C7H3F7N2O2
280.0083,1,427,C7H3F7N2O2
280.0146,1,639,C6H5F9O2
280.0195,1,226,C6H3F7N4O
280.0334,1,529,C9H7F7O2
280.0559,1,169,C7H7F7N4
280.9245,1,870,C4Cl2F7NO
280.9842,1,734,C8H3ClF7N
280.9842,1,841,C8H3ClF7N
280.9842,1,283,C8H3ClF7N
280.9842,1,450,C8H3ClF7N
281.0399,1,181,C7H6F7N3O
281.0651,1,902,C9H10F7NO
281.9494,1,704,C5ClF9O
281.9494,1,675,C5ClF9O
281.9597,1,501,C4H2F8O3S
281.9739,1,772,C5F10O2
281.9739,1,755,C5F10O2
281.9795,1,511,C7H2ClF7N2
281.9903,1,981,C6HF11
281.9903,1,738,C6HF11
281.9938,1,292,C5H3F9O3
282.0239,1,278,C7H5F7N2O2
282.0491,1,911,C9H9F7O2
282.0491,1,439,C9H9F7O2
282.0603,1,861,C8H9F7N2O
282.0855,1,327,C10H13F7O
282.1218,1,820,C11H17F7
282.9713,1,167,C4H2F9NOS
282.9855,1,297,C5F11N
283.0443,1,871,C8H8F7NO2
283.0443,1,808,C8H8F7NO2
283.0807,1,365,C9H12F7NO
283.9554,1,802,C4HF9O2S
284.0283,1,845,C8H7F7O3
284.0647,1,641,C9H11F7O2
284.0811,1,924,C10H12F8
284.0811,1,427,C10H12F8
284.9949,1,280,C6F9N3
285.0012,1,944,C5H2F11N
285.0236,1,268,C7H6F7NO3
285.0388,1,640,C11H6F7N
285.06,1,627,C8H10F7NO2
285.06,1,507,C8H10F7NO2
285.9443,1,817,C4ClF9O2
285.9852,1,373,C5HF11O
286.024,1,303,C8H6F8O2
286.026,1,648,C7H9F7O2Si
286.0341,1,410,C10H5F7N2
286.0341,1,657,C10H5F7N2
286.0341,1,522,C10H5F7N2
286.044,1,107,C8H9F7O3
286.044,1,603,C8H9F7O3
286.044,1,853,C8H9F7O3
287.0181,1,890,C10H4F7NO
287.0293,1,259,C9H4F7N3
287.0392,1,798,C7H8F7NO3
287.0545,1,198,C11H8F7N
287.9669,1,785,C6F8O4
287.9788,1,919,C7H4ClF7O2
287.9808,1,915,C5F12
